9.38 8.87 7.61 9.61 8.04
8.51 8.24 9.65 8.47 9.38
9.26 8.04 9.14 8.71 8.98
9.06 8.55 9.45 8.87 9.02
8.55 8.28 9.61 8.12 8.71
7.41 8.63 9.22 8.04 8.59
8.2 7.92 9.14 7.65 8.63
9.53 8.0 8.51 8.83 8.39
7.81 8.0 8.51 8.28 7.73
7.49 8.16 7.85 6.47 8.59
7.92 6.51 7.45 7.45 7.65
6.94 7.3 7.53 6.94 6.94
8.2 7.18 7.45 8.16 6.86
8.0 8.2 7.1 7.92 8.39
6.98 8.63 8.51 6.98 7.61
8.08 6.2 6.59 8.0 6.75
7.06 7.06 6.08 6.83 6.39
6.9 5.61 5.69 5.88 5.26
4.51 4.98 5.84 3.33 5.37
3.96 4.79 3.37 7.3 8.83
6.35 8.67 7.41 9.92 7.85
7.69 10.67 9.18 8.39 5.65
7.22 7.92 7.65 9.85 9.96
8.55 11.61 11.53 9.49 8.08
8.24 10.12 9.14 9.69 9.22
7.81 7.65 8.51 8.08 7.02
6.79 7.61 8.04 7.1 7.18
8.08 8.24 8.71 9.92 10.04
8.79 8.43 9.22 9.18 10.32
8.59 9.18 8.63 9.49 10.47
10.08 9.96 9.53 7.69 9.89
9.89 10.12 10.98 9.3 9.41
11.02 10.43 9.69 10.2 8.87
9.89 9.92 9.73 9.92 10.12
8.79 7.57 8.83 6.98 8.9
6.63 8.47 6.98 8.79 7.14
7.81 8.16 9.3 7.1 8.9
7.26 8.75 7.34 8.63 7.49
9.14 6.51 8.9 7.06 8.9
6.98 6.67 7.37 8.04 6.63
6.71 7.02 7.18 6.86 8.43
8.08 6.71 6.16 6.24 7.49
5.53 6.59 5.06 6.71 5.06
4.51 6.47 5.49 3.41 7.77
8.04 7.14 10.83 7.53 11.73
9.61 9.69 10.28 9.92 8.36
8.28 8.28 9.34 8.71 9.85
8.63 7.73 6.55 10.87 9.53
9.85 9.49 9.22 9.45 10.83
9.49 9.61 8.39 7.53 7.26
8.47 8.59 8.0 8.32 6.94
8.87 8.04 7.88 7.88 8.0
8.43 9.14 8.87 9.3 8.24
9.3 8.63 9.02 10.63 9.38
9.18 9.14 8.83 9.69 10.0
8.83 9.22 8.67 8.71 9.81
9.41 9.92 8.9 8.79 9.14
9.57 10.79 9.53 8.94 9.77
8.83 9.96 9.57 9.14 9.61
9.02 10.16 10.51 9.26 10.24
8.9 9.53 9.89 9.57 9.41
9.81 9.18 10.16 9.06 9.85
9.61 9.92 9.02 9.73 9.73
9.89 10.16 8.94 9.96 9.3
10.04 9.38 10.16 9.69 9.65
9.73 9.92 9.45 9.57 10.28
6.98 7.57 8.67 6.94 8.12
7.1 8.16 7.85 8.28 7.57
8.75 7.53 9.02 6.67 8.08
7.1 8.94 7.18 8.47 6.79
8.16 6.51 8.51 6.71 7.41
8.36 7.18 8.24 7.92 8.83
8.67 7.3 9.02 7.37 9.06
8.39 7.41 7.77 7.06 7.81
7.34 8.2 7.92 7.41 8.67
8.87 6.59 7.34 6.39 7.85
6.47 6.67 7.02 7.18 7.37
7.1 6.86 7.18 6.2 6.32
6.51 7.53 6.32 6.9 7.06
9.14 7.06 9.96 8.55 9.53
9.45 9.41 9.22 9.45 10.87
9.65 11.22 9.45 8.59 9.18
8.47 8.71 9.73 8.04 7.92
10.36 9.61 8.87 9.81 8.59
9.22 8.83 7.92 8.87 8.32
